iter	Passed	Remaining
398	199646	251184
399	199902	250378
400	200158	249573
401	200669	249089
402	201048	248441
403	201516	247905
404	201679	246994
405	202226	246557
406	202737	246073
407	203396	245771
408	203897	245274
409	204790	245248
410	205015	244422
411	205677	244117
412	206489	243988
413	206987	243485
414	207447	242938
415	208165	242692
416	208899	242463
417	209147	241670
418	209432	240922
419	209703	240160
420	210077	239518
421	210642	239093
422	211008	238444
423	211549	237993
424	212080	237530
425	212306	236726
426	212691	236102
427	213040	235439
428	213439	234833
429	214033	234441
430	214410	233811
431	214600	232980
432	215056	232440
433	215412	231791
434	215562	230924
435	215876	230234
436	216444	229817
437	216545	228905
438	216988	228356
439	217174	227540
440	217453	226822
441	217787	226164
442	218138	225524
443	218524	224922
444	218970	224383
445	219289	223714
446	219679	223119
447	220573	223035
448	221278	222756
449	221841	222334
450	222122	221630
451	222367	220891
452	222646	220188
453	223110	219670
454	223405	218986
455	223713	218316
456	223941	217570
457	224715	217355
458	225311	216967
459	225634	216314
460	226253	215947
461	226529	215251
462	226792	214546
463	227047	213835
464	227380	213199
465	227723	212574
466	227923	211817
467	228196	211130
468	228444	210422
469	228834	209845
470	229184	209234
471	229510	208602
472	230045	208159
473	230618	207751
474	230998	207169
475	231226	206452
476	231462	205744
477	231891	205209
478	232041	204428
479	232277	203726
480	232538	203048
481	232820	202389
482	233051	201688
483	233351	201048
484	233824	200558
485	234165	199956
486	234458	199313
487	234888	198789
488	235231	198190
489	235486	197520
490	235767	196873
491	236030	196212
492	236284	195545
493	236492	194843
494	236801	194224
495	237050	193559
496	237322	192914
497	237623	192293
498	237959	191702
499	238482	191263
500	238777	190640
501	239143	190076
502	239369	189401
503	240036	189076
504	240300	188433
505	240583	187806
506	240865	187181
507	241127	186541
508	241400	185911
509	241695	185299
510	242130	184795
511	242540	184274
512	242761	183609
513	242935	182910
514	243199	182281
515	243429	181628
516	243698	181006
517	244072	180463
518	244494	179955
519	244821	179378
520	245106	178772
521	245767	178440
522	246010	177804
523	246396	177273
524	246868	176805
525	247237	176262
526	247753	175825
527	247966	175173
528	248353	174645
529	248821	174175
530	249278	173696
531	249754	173232
532	249953	172575
533	250143	171914
534	250625	171456
535	250988	170915
536	251288	170333
537	251555	169730
538	251807	169117
539	252070	168513
540	252301	167889
541	252626	167330
542	252980	166790
543	253232	166183
544	253824	165800
545	254168	165256
546	254500	164704
547	255107	164330
548	255387	163745
549	255646	163149
550	255888	162542
551	256362	162084
552	256620	161489
553	256857	160883
554	257081	160270
555	257342	159681
556	257557	159065
557	257847	158497
558	258015	157855
559	258254	157258
560	258485	156657
561	258717	156058
562	259043	155518
563	259271	154919
564	259481	154311
565	259692	153704
566	259922	153111
567	260160	152523
568	260346	151906
569	260534	151293
570	260693	150663
571	260931	150081
572	261232	149536
573	261524	148986
574	261723	148386
575	261882	147763
576	262165	147212
577	262514	146699
578	262752	146124
579	262966	145538
580	263162	144943
581	263351	144345
582	263594	143778
583	263859	143224
584	264145	142683
585	264371	142111
586	264609	141545
587	264792	140952
588	264966	140355
589	265234	139809
590	265448	139236
591	265663	138665
592	265852	138081
593	266055	137506
594	266251	136929
595	266470	136364
596	266683	135798
597	266906	135238
598	267087	134658
599	267293	134092
600	267474	133514
601	267689	132955
602	267879	132384
603	268105	131833
604	268392	131312
605	268646	130776
606	268936	130259
607	269158	129709
608	269385	129163
609	269581	128603
610	269788	128050
611	270035	127516
612	270260	126974
613	270456	126418
614	270666	125870
615	270849	125311
616	271082	124777
617	271358	124262
618	271561	123716
619	271774	123175
620	272014	122647
621	272160	122078
622	272395	121550
623	272618	121018
624	272831	120482
625	273024	119939
626	273202	119390
627	273424	118861
628	273588	118308
629	273821	117786
630	274065	117270
631	274251	116730
632	274435	116190
633	274650	115665
634	274873	115143
635	275060	114608
636	275285	114090
637	275481	113560
638	275685	113035
639	275854	112497
640	276076	111981
641	276334	111480
642	276459	110927
643	276762	110447
644	276961	109925
645	277232	109434
646	277416	108908
647	277606	108386
648	277784	107860
649	277990	107347
650	278211	106840
651	278424	106330
652	278620	105816
653	278805	105297
654	279053	104804
655	279290	104308
656	279483	103796
657	279716	103299
658	279931	102797
659	280135	102291
660	280360	101794
661	280499	101267
662	280685	100758
663	280892	100258
664	281083	99752
665	281257	99242
666	281440	98736
667	281665	98245
668	281887	97754
669	282121	97268
670	282325	96773
671	282565	96290
672	282744	95788
673	283103	95347
674	283322	94860
675	283531	94370
676	283764	93889
677	283964	93398
678	284169	92909
679	284364	92418
680	284614	91945
681	284788	91449
682	284990	90963
683	285134	90459
684	285262	89951
685	285455	89464
686	285627	88972
687	285841	88494
688	286053	88016
689	286225	87526
690	286385	87034
691	286630	86568
692	286848	86095
693	287057	85620
694	287288	85153
695	287447	84664
696	287607	84177
697	287772	83693
698	287987	83223
699	288169	82745
700	288328	82262
701	288503	81783
702	288645	81296
703	288832	80823
704	289003	80346
705	289166	79868
706	289365	79401
707	289505	78918
708	289704	78453
709	289932	77995
710	290066	77514
711	290218	77038
712	290382	76566
713	290548	76095
714	290716	75626
715	290858	75151
716	291013	74681
717	291156	74208
718	291320	73741
719	291530	73287
720	291715	72827
721	291875	72362
722	292043	71899
723	292227	71442
724	292721	311189725	292722	311386726	292723	311560727	292724	311719728	293725	311913729	293726	312082730	293727	312249731	293728	312408732	293729	312558733	293952	66880
734	294731	312916735	294732	313068736	294733	313300737	294734	313502738	294735	313688739	294736	313876740	295737	314074741	295738	314260742	295739	314442743	295740	314621744	295741	314795745	296742	314942746	296261	61076
747	296744	315245748	296745	315448749	296746	315629750	296747	315790751	297748	315958752	297749	316146753	297750	316315754	297751	316474755	297752	316636756	297753	316829757	298754	316984758	298755	317156759	298756	317321760	298757	317484761	298758	317618762	298931	54066
763	299760	317905764	299761	318128765	299762	318278766	299763	318407767	299764	318535768	299765	318691769	299766	318854	70256
767	318991771	300768	319120772	300769	319243773	300770	319376774	300771	319547775	300772	319647776	300773	319795777	301774	319923778	301775	320091779	301776	320263780	301777	320423781	301778	320585782	301779	320745783	301780	320877	63682
781	321026785	302782	321168	62757
783	321304	62293
784	321439	61831
785	321578789	302786	321740790	302787	321897791	303788	322026792	303789	322196793	303790	322338794	303791	322470795	303792	322655796	303793	322797797	304794	322935798	304795	323086799	304796	323222800	304797	323384801	304798	323480802	304799	323601803	304800	323737804	305801	323866805	305802	323997806	305803	324156807	305804	324286808	305805	324395809	305806	324548810	305807	324693811	305808	324811812	306809	324975813	306810	325123814	306811	325274815	306812	325408816	306747	31538
817	306814	325670818	307815	325853819	307816	326028820	307817	326207	47056
818	326368	46624
819	326468823	307820	326667824	307821	326844	45328
822	327020	44900
823	327176	44470
824	327306	44037
825	327461	43608
826	327596	43177
827	327742	42749
828	327935	42327
829	328094	41901
830	328172	41465
831	328300	41037
832	328474	40615
833	328585	40186
834	328741	39763
835	328912	39343
836	329024	38916
837	329149	38492
838	329264	38067
839	329399	37645
840	329567	37228
841	329741	36811
842	329933	36398
843	330087	35981
844	330220	35562
845	330344	35143
846	330461	34723
847	330628	34310
848	330755	33893
849	330906	33479
850	331062	33067
851	331181	32651
852	331289	32235
853	331469	31827
854	331620	31416
855	331753	31005
856	331860	30591
857	331978	30179
858	332142	29772
859	332294	29365
860	332428	28957
861	332585	28551
862	332726	28144
863	332834	27736
864	332976	27331
865	333152	26929
866	333355	26530
867	333520	26128
868	333669	25725
869	333787	25321
870	333923	24919
871	334064	24518
872	334180	24116
873	334344	23717
874	334514	23320
875	334706	22925
876	334852	22527
877	334994	22129
878	335186	21735
879	335320	21338
880	335495	20944
881	335641	20549
882	335795	20155
883	335990	19764
884	336119	19369
885	336277	18977
886	336422	18584
887	336553	18192
888	336680	17799
	2487
894	317853	2130
04
878	480718	407435
879	480886	406567
880	481060	405707
881	481211	404829
882	481352	403943
883	481493	403059
884	481702	402235
885	481891	401394
886	482058	400537
887	482211	399670
888	482448	398875
889	482655	398055
890	482860	397235
891	483074	396424
892	483290	395615
893	483484	394791
894	483654	393949
895	483816	393101
896	484020	392288
897	484211	391467
898	484410	390653
899	484615	389846
900	484848	389062
901	485059	388263
902	485259	387455
903	485484	386668
904	485626	385818
905	485851	385034
906	486067	384245
907	486257	383436
908	486456	382636
909	486667	381846
910	486888	381066
911	487097	380277
912	487282	379471
913	487494	378688
914	487671	377878
915	487860	377080
916	488059	376289
917	488293	375528
918	488495	374743
919	488662	373933
920	488842	373134
921	489061	372366
922	489245	371571
923	489434	370783
924	489652	370018
925	489791	369194
926	489970	368403
927	490166	367625
928	490358	366845
929	490534	366054
930	490663	365231
931	490838	364442
932	491041	363675
933	491214	362888
934	491408	362118
935	491609	361353
936	491793	360578
	326691
938	489725	325962
939	489882	325198
940	490057	324448
941	490215	323687
942	490388	322939
943	490573	322198
944	490792	321482
945	491012	320767
946	491279	320083
947	491476	319356
948	491691	318641
949	491927	317940
950	492121	317214
951	492407	316547
952	492639	315847
953	492881	315154
954	493028	314402
955	493198	313665
956	493398	312949
957	493615	312245
958	493794	311517
959	493947	310775
960	494105	310036
961	494326	309339
962	494506	308617
963	494685	307895
964	494895	307194
965	495070	306472
966	495250	305754
967	495436	305041
968	495635	304337
	542840	525716
951	542956	524705
952	543185	523806
953	543412	522906
954	543609	521979
955	543822	521068
956	544051	520174
957	544226	519231
958	544451	518335
959	544663	517430
960	544876	516527
961	545086	515622
962	545305	514727
963	545513	513823
964	545681	512883
965	545847	511943
966	546004	510996
967	546166	510056
968	546352	509139
969	546554	508239
970	546703	507291
971	546885	506375
972	547046	505442
973	547229	504530
974	547419	503625
975	547549	502668
976	547717	501747
977	547893	500835
978	548103	499955
979	548330	499092
980	548544	498218
981	548745	497335
982	548925	496434
983	549100	495529
984	549304	494652
985	549502	493772
986	549737	492925
987	549917	492031
988	550125	491163
989	550326	490290
990	550546	489436
991	550773	488589
992	550956	487704
993	551148	486829
994	551349	485963
995	551505	485059
996	551716	484204
997	551895	483322
998	552084	482452
999	552266	481576
1000	552432	480687
1001	552627	479826
1002	552788	478936
1003	552954	478052
1004	553166	477209
1005	553356	476348
1006	553536	475480
1007	553720	474617
1008	553904	473755
1009	554059	472870
1010	554238	472007
1011	554463	471184
1012	554729	470397
1013	554939	469564
1014	555148	468731
1015	555314	467863
1016	555483	466999
1017	555691	466169
1018	555858	465306
1019	556052	464467
1020	556251	463633
1021	556479	462825
1022	556634	461957
76829
1041	577721	276108
1042	577906	275378
1043	578067	274637
1044	578247	273906
1045	578455	273190
1046	578668	272477
1047	578835	271743
1048	579011	271014
1049	579223	270304
1050	579385	269571
1051	579559	268845
1052	579736	268121
1053	579907	267395
1054	580083	266673
1055	580289	265966
1056	580536	265278
1057	580701	264554
54	494095
1042	585242	493219
1043	585447	492358
1044	585649	491497
1045	585822	490612
1046	586070	489791
1047	586267	488928
1048	586489	488089
1049	586758	487289
1050	586996	486464
1051	587147	485568
1052	587379	484741
1053	587541	483857
1054	587782	483040
1055	587952	482165
1056	588134	481301
1057	588303	480429
1058	588465	479552
1059	588649	478694
1060	588821	477827
1061	589051	477009
1062	589220	476143
1063	589452	475328
1064	589623	474467
422862	67890
1090	423032	67468
1091	423212	67047
1092	423397	66627
1093	423570	66207
1094	423708	65781
1095	423845	65355
1096	423986	64931
011	133346
1089	473134	132824
1090	473288	132312
1091	473405	131790
1092	473532	131272
1093	473655	130753
1094	473743	130225
1095	473901	129717
1096	474053	129208
1097	474227	128706
1098	474323	128183
1099	474464	127674
1100	474600	127163
1101	474698	126643
1102	474883	126147
1103	474976	125627
1104	475105	125118
1105	475205	124601
1106	475375	124104
1107	475514	123599
1108	475620	123086
1109	475742	122578
1110	475896	122079
1111	476124	121600
1112	476283	121103
1113	476459	120611
1114	476606	120113
1115	476737	119611
1116	476937	119127
1117	477077	118629
1118	477250	118139
1119	477380	117640
1120	477504	117139
1121	477653	116646
1122	477775	11614611123	477882	115641128	633594	61170
1129	633817	60577
1130	633984	59979
1131	634235	59389
1132	634420	58794
1133	634615	58201
1134	634784	57605
1135	634987	57014
1136	635237	56428
1137	635432	55837
1138	635616	55246
1139	635817	54658
1140	636013	54069
1141	636251	53485
7	479814	108780
1138	479941	108292
1139	480057	107802
1140	480186	107316
1141	480304	106827
1142	480436	106343
1143	480553	105856
1144	480661	105367
1145	480806	104888
124	636141	404868
1125	636325	404061
1126	636492	403243
1127	636660	402428
1128	636805	401599
1129	636988	400795
1130	637137	399971
1131	637355	399191
1132	637551	398399
203
1155	509976	99701
1156	510097	99197
1157	510199	98691
1158	510295	98184
1159	510479	97695
1160	510576	97189
1161	510728	96695
1162	510821	96190
1163	511032	95708
1164	511207	95220
1165	511330	94723
1166	511459	94227
1167	511626	93739
1168	511799	93253
1169	511894	92753
1170	512021	92260
1171	512125	91763
1172	512238	91268
1173	512350	90774
1174	512465	90281
1175	512603	89792
1176	512720	89301
1177	512849	88812
1178	512981	88325
1179	513091	87834
1180	513195	87343
1181	513399	86869
1182	513540	86385
1183	513644	85896
1184	513734	85405
1185	513862	84921
1186	513931	84428
2491	326441
1188	622761	325784
1189	622964	325093
1190	623176	324407
1191	623354	323704
1192	623541	323008
1193	623728	322312
1194	623908	321612
1195	624108	320925
1196	624291	320229
1197	624486	319540
1198	624669	318847
1199	624864	318159
1200	625017	317452
1201	625217	316769
1202	625411	316084
1203	625655	315426
1204	625829	314732
1205	626026	314051
1206	626188	313353
1207	626397	312680
1208	626603	312006
1209	626797	311326
1210	627008	310656
1211	627184	309969
1212	627373	309290
1213	627549	308605
1214	627711	307914
1215	627881	307228
1216	628055	306544
1217	628243	305869
1218	628415	305186
1219	628602	304511
1220	628790	303838
1221	628992	303172
1222	629194	302507
1223	629360	301825
